nama_usaha,alamat,penanggung_jawab,badan_usaha,nomor_telepon,nomor_faximili,jenis_hotel,masa_berlaku
NEW  MG,Jl. Mangga Besar Raya No. 38 AS,Eman,PT. Pondok Mangga Besar,021 6592949,021 6012688,Hotel Melati,31-07-15
CIPONDO,Jl. Kramat Jaya No. 911,Zeppy Sutjipto,,021 108,021 108,Hotel Melati,31-07-15
AMARIS,Jl. IR. H. Juanda No. 3,"Mimie Jumiati,SH",PT. Graha Kasih Sejahtera,021 3458733,021 3458732,Hotel Melati,31-07-15
PERMAI,Jl. Mangga Besar Raya No. 24,Sherly,PT. Sugindo Impressa Permai,021 6282520,021 6241533,Hotel Melati,12-08-15
SHALOM,Jl. Kramat Pulo No. 18/A,"Ir. Paul Retika, MSC",,021 3155274,021 3155274,Hotel Melati,12-08-15
G7 HOTEL,Jl. KH. Samanhudi No. 47,Abujadi Hartawan,,021 108,021 108,Hotel Melati,29-08-15
ZULIA CIPULIR,Jl. H.  Syatirih RT.002 Ulujami,Zsul Akhyar B.H Bustaman,,021 5864072,021 79183602,Hotel Melati,29-08-15
PURI KWITANG,Jl. Kramat Kwitang 1 No. 11 A,Tedy Samsuri,CV. Hotel Puri Kwitang,021 3927688,021 3927688,Hotel Melati,29-08-15
ARUNI,Jl. RE. Martadinata No. 10,Rudi Setiawan,PT. Nurcahaya Budimakmur,021 6917053,021 6917053,Hotel Melati,03-09-15
HOTEL CABIN,Jl. Yos Sudarso Kav. 8788,Hanadi Sunjoto,PT. Kartika Jaya Abadi,021 5677923,021 5672295,Hotel Melati,05-09-15
HOTEL FAVE,Jl. KH. Wahid Hasyim No. 135,Ir. Iwan S Susantyo,PT. Robina Putra Perkasa,021 3929838,021 3929838,Hotel Melati,05-09-15
TAMANSARI,Jl. Tamansari VI No. 14 B RT. 009/07,H. Iman S. Bastian,H. Iman S. Bastian,021 6290273,021 6290273,Hotel Melati,09-09-15
PINANGSIA,Jl. Pinangsia I No. 55,Henry Lesmana,PT. Sumber Berkah Sakti,021 6246478,021 6244726,Hotel Melati,12-09-15
MY HOTEL,Jl. Hayam Wuruk No. 127 A,Johnson Putra Lawadinata,PT. Gracelil Mulia Abadi,021 6291818,021 6291818,Hotel Melati,17-09-15
7 DAYS HOTEL,Jl. Gajah Mada 196/Jl. Kemurnian IV,Tjoa Seng Tian,PT. Tujuh Hari Group,021 62306301,021 108,Hotel Melati,17-09-15
AMARIS,Jl. Panglima Polim Raya No. 101 Blok N/III RT. 00,Andy Widjanarko,PT. Graha Multi Utama,021 108,021 108,Hotel Melati,22-09-15
AMARIS,Jl. Panglima Polim Raya No. 4,Lilik Oetomo,PT. Amaris International,021 7267111,021 7267555,Hotel Melati,26-09-15
BIG HOTEL,Jl. Kartini Raya 64 No. 2,Timmy Yuwono,PT. Wijaya Energi Semesta,021 6000500,021 62318480,Hotel Melati,26-09-15
HOTEL 88,Jl. Mangga Besar VIII RT. 008/01 No. 10 D,FX Tommy Setiawan,PT. Waringin Buana Citra Realty,021 108,021 108,Hotel Melati,30-09-15
HOTEL 88,Jl. Mangga Besar No. 62,FX Tommy Setiawan,PT. Bangun Cipta Jaya Abadi,021 108,021 108,Hotel Melati,30-09-15
NEW MANGGA BESAR,Jl. Mangga Besar Raya No. 68 BC,"Gregorious, SN. Marsam",PT. Wahana Warna Wisata,021 6391010,021 6391515,Hotel Melati,30-09-15
HOTEL FEODORA,Jl. Mangga Besar IV No. 18,Khuswari,PT. Feodora Hotel,021 62203686,021 62201151,Hotel Melati,11-10-15
BELVENA,Jl. Mangga Besar Raya V No. 49,Henry Salim,PT. Adidaya Sakti Perkasa,021 6263566,021 6264266,Hotel Melati,11-10-15
ROXY ROYAL,"Jl. Supiori No. 33A, 55A5B",Thio Suzana Martha,,021 6316153,021 6316153,Hotel Melati,16-10-15
HOTEL GANI,Jl. KS. Tubun Raya no.9,Hartono Widjaja,,021 5712375,021 5712375,Hotel Melati,16-10-15
AGUSTA CENGKARENG,Jl. Kamal Raya Ling.Luar Barat No. 1,Agus Muchsin,CV. Agusta Jakarta,021 5453132,021 5453129,Hotel Melati,18-10-15
SMART HOTEL,Jl. Tanjung Karang No. 2,Arifin Siman,PT. Best Harvest Nusantara,021 3500123,021 3446883,Hotel Melati,18-10-15
CITI M. HOTEL,Jl. Tanah Abang I No 11 Petojo,IR. Irvan,PT. Permata Intan Abadi,021 3843889,021 3843889,Hotel Melati,23-10-15
DELDHIA,Jl. Raden Inten No. 175 A,Uminarsih,PT. Casa Profitindo Corp,021 86102226,021 86102226,Hotel Melati,28-10-15
BAMBOO INN,Jl. H. Saaman No. 9,IR. Herman Prananto,PT. Global Trimitra Griya,021 56969625,021 5654653,Hotel Melati,28-10-15
LOSARI BLOK. M,Jl. Panglima Polim Raya No. 3 E,"Arwan Tjahjadi, IR",PT. Losari Beach Makassar,021 7265858,021 7269616,Hotel Melati,28-10-15
SURABAYA PERMAI,Jl. Perniagaan Selatan No. 46,Sugiharto Ongkowijoyo,PT. Hotel Surabaya Permai,021 6907323,021 6922841,Hotel Melati,28-10-15
AMARIS,Jl. Pasar Baru Timur No. 2021 RT. 004/03,Indratno Marsudidjaja,PT. Mars Graha Lestari,021 3501818,021 6851132,Hotel Melati,30-10-15
MAX ONE HOTEL,Jl. Pasar Glodok Selatan No. 810 RT.002/001,Kent Chandra Atmadja,PT. TTS HARMONI,021 108,021 108,Hotel Melati,03-11-15
ROYAL CITY HOTEL,Jl. Petojo VI Y II No. 4 RT. 002/06,Hadi Susanto Sidharta,PT. Murni Berlian Motors,021 3500718,021 3520857,Hotel Melati,12-11-15
DARIZA JAYA,Jl. Perintis Kemerdekaan No. 42,H. Zainul Arifin Sulaiman,,021 4530113,021 4355878,Hotel Melati,15-11-15
PERINSEN,Jl. Mangga Besar Raya No. 103105 Belakang,Liong Johan Leonardo,,021 6290638,021 6296658,Hotel Melati,15-11-15
V HOTEL,"Jl. Prof Dr. Soepomo, SH No. 100 RT.001/006",Alexius H Karmadji,PT. Abba Puri Sentosa,021 83909708,021 83909708,Hotel Melati,15-11-15
TIGA NUR,Jl. Kramat Pulo Dalam II/F15 No. 5,H. Rusdy Nasution,,021 3909052,021 3909052,Hotel Melati,15-11-15
SEMARANG,Jl. Kramat Pulo No. 9 RT. 008/02,Faray,,021 3903110,021 3903110,Hotel Melati,20-11-15
NEO HOTEL,Jl. Cideng Timur No. 58,Ferry Sutiono,PT. Graha Mandiri Makmur,021 108,021 108,Hotel Melati,20-11-15
7 DAYS HOTEL,Jl. Mangga Besar Raya No. 67 CD RT. 003/02,Tjoa Seng Tian,PT. Tujuh Hari Group,021 62306301,021 108,Hotel Melati,21-11-15
HOLLYWOOD,Jl. Kebon Jeruk XVIII No. 63 RT. 002/09,Jefri Tobing,PT. California Inti Persada,021 62303449,021 108,Hotel Melati,21-11-15
PURRI MELATI,Jl. Tiang bendera No. 67,Ricky Gowdjali,PT. Lumbung Mutiara,021 6910708,021 6919081,Hotel Melati,21-11-15
CHITRA,Jl. Toko Tiga Seberang 23,Farida Sadeli,PT. Andika Saksi Abadi,021 6596283,021 6596282,Hotel Melati,26-11-15
PURI INN,Jl. Raden Saleh 39 D,Kwok Harry Santoso,,021 3926191,021 3926453,Hotel Melati,10-12-15
M. HOTEL,Jl. Melawai VI No. 27 Blok M/3 Persil No. 32,Moh. Faisal Kemal,PT. Prisynergi Pertama,021 7234848,021 7235749,Hotel Melati,11-12-15
HOTEL SOTIS,Jl. Falatehan I No. 2122,Susanty,PT. Dwimukti Mitra Wisata,021 7399127,021 72796653,Hotel Melati,11-12-15
GARUDA,Jl. Letjen Suprapto No. 88,Salha Huwel,Salha Huwel,021 4207959,021 4207959,Hotel Melati,11-12-15
ILHAM DUA,Jl. Kemayoran Ketapang No. 90,H. Abu Syufian Zulkifli,H. Abu Syufian Zulkifli,021 4264230,021 4264230,Hotel Melati,20-12-15
RED STAR HOTEL JAKARTA,"Jl. Mangga Besar VIII No. 12 X,W,V,Y RT. 008/00",Darmadi Marpauli,PT. Angkasa Arthalimas,021 62309768,021 62309769,Hotel Melati,20-12-15
KARSA UTAMA,Jl. Kebon Kacang IV No. 12,H. Jaenal Mappe,PT. Karsa Utama Lestari,021 3144134,021 3144135,Hotel Melati,24-12-15
NEO HOTEL TENDEAN,Jl. Woltermonginsidi No. 131,IR. Lukito Cahya,PT. Dinamika Sentosa Jaya,021 108,021 108,Hotel Melati,30-12-15
BLUE SKY PANDURATA BOUTIQUE HOTEL,Jl. Raden Saleh No. 12,"Drs. Sabri Ramdhany, MM",PD. Melati Bhakti Satya Prov. Kaltim,021 54120116,021 541202994,Hotel Melati,30-12-15
THE PLAZA HOTEL GLODOK,Jl. Pinangsia Raya RT.006/07 Lt. 3,Johannes Suriadjaja,PT. Surya Internusa Hotels,021 6255999,021 6255999,Hotel Melati,31-12-15
ANTONI,Jl. Hayam Wuruk 111 RT. 003/09,Raymond Antoni Hung,PT. Antonindo Surya Asta,021 6003777,021 6003777,Hotel Melati,13-01-16
HOTEL DE' QUR,Jl. Kali Besar Barat No. 27,Naif Abdullah,PT. Dequrindo Citra Selaras,021 6915425,021 6915427,Hotel Melati,18-02-16
AMARIS,Jl. Kapten P. Tendean  No. 11 RT. 014/002,Andy Widjanarko,PT. Primamulti Utama Lestari,021 108,021 108,Hotel Melati,20-12-16
NEW IDOLA,Jl. Pramuka Raya No. 26,Yuneva LS,Yuneva LS,021 8503232,021 8503232,Hotel Melati,22-02-15
ILHAM,Jl. Kalibaru Timur IV/39,H.Abu Syufian Zulkifli,,021 4258566,021 4258566,Hotel Melati,26-03-15
TCL 2,Jl. Terusan Bandengan Utara 91.C,Tjiu Sing Khean,,021 6624880,021 66695335,Hotel Melati,12-06-15
FORTUNA,Jl. Pancoran No. 42,Lie Kie Tong,PT. Ultra Kreasi Utama,021 6907459,021 6294594,Hotel Melati,25-06-15
RAKACIA HOTEL,Jl. Pemuda No. 10,IR. Pidel Hutahaean,PT. Rakacia Jaya Hotel,021 4720434,021 4720434,Hotel Melati,28-10-15
